SR NO,INSTITUTE NAME,BRANCH,CATEGORY,BOARD,TYPE,OPENING,CLOSING
1,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GEN,Gujarat Board,SFI,100894.00,104002.00
2,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,EWS,Gujarat Board,SFI,105156.00,105156.00
3,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,ST,Gujarat Board,SFI,105875.00,105875.00
4,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SEBC,Gujarat Board,SFI,106355.00,109657.00
5,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SC,Gujarat Board,SFI,107842.00,107842.00
6,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE -TFWS,TFW,Gujarat Board,SFI,100257.00,100257.00
7,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",AUTOMOBILE ENGINEERING,GEN,Gujarat Board,SFI,110831.00,110831.00
8,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",CIVIL ENGINEERING,GEN,Gujarat Board,SFI,105819.00,108548.00
9,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,100800.00,100910.00
10,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SEBC,Gujarat Board,SFI,101426.00,104457.00
11,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,EWS,Gujarat Board,SFI,101628.00,101628.00
12,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SC,Gujarat Board,SFI,103625.00,103625.00
13,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100282.00,100282.00
14,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,GEN,Gujarat Board,SFI,101420.00,104281.00
15,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SEBC,Gujarat Board,SFI,106746.00,109301.00
16,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,GEN,Gujarat Board,SFI,109717.00,109717.00
17,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,101124.00,102566.00
18,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,EWS,Gujarat Board,SFI,102599.00,102950.00
19,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SC,Gujarat Board,SFI,103963.00,103963.00
20,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SEBC,Gujarat Board,SFI,104628.00,107922.00
21,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY - TFWS,TFW,Gujarat Board,SFI,100420.00,100420.00
22,"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,104098.00,109776.00
23,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",CIVIL & INFRASTRUCTURE ENGINEERING,GEN,Gujarat Board,SFI,100936.00,109288.00
24,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),GEN,Gujarat Board,SFI,100303.00,100703.00
25,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,Gujarat Board,SFI,100730.00,100734.00
26,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SEBC,Gujarat Board,SFI,100908.00,101262.00
27,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC,Gujarat Board,SFI,101360.00,102551.00
28,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ST,Gujarat Board,SFI,108086.00,108086.00
29,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) - TFWS,TFW,Gujarat Board,SFI,100111.00,100111.00
30,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,GEN,Gujarat Board,SFI,100589.00,101008.00
31,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,EWS,Gujarat Board,SFI,101064.00,101064.00
32,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SEBC,Gujarat Board,SFI,102248.00,102382.00
33,"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY - TFWS,TFW,Gujarat Board,SFI,100113.00,100113.00
34,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CHEMICAL ENGINEERING,GEN,Gujarat Board,SFI,103451.00,111468.00
35,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CHEMICAL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,101583.00,101583.00
36,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CIVIL ENGINEERING,GEN,Gujarat Board,SFI,104173.00,110974.00
37,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CIVIL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,101317.00,101317.00
38,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,101604.00,111343.00
39,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100391.00,100883.00
40,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING,GEN,Gujarat Board,SFI,102704.00,109755.00
41,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING -(Separate Division),GEN,Gujarat Board,SFI,105409.00,109138.00
42,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING -(Separate Division)-TFW,TFW,Gujarat Board,SFI,100753.00,101830.00
43,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,ELECTRICAL ENGINEERING,GEN,Gujarat Board,SFI,102653.00,111451.00
44,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,102342.00,111169.00
45,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,INFORMATION TECHNOLOGY - TFWS,TFW,Gujarat Board,SFI,100636.00,101125.00
46,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,104394.00,110410.00
47,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,MECHANICAL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,104687.00,104687.00
48,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,GEN,Gujarat Board,SFI,101399.00,110883.00
49,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",AUTOMOBILE ENGINEERING,GEN,Gujarat Board,SFI,105939.00,108890.00
50,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",AUTOMOBILE ENGINEERING - TFWS,TFW,Gujarat Board,SFI,105375.00,105375.00
51,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,GEN,Gujarat Board,SFI,103141.00,110524.00
52,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,100581.00,106457.00
53,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SEBC,Gujarat Board,SFI,106624.00,111266.00
54,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SC,Gujarat Board,SFI,106744.00,110131.00
55,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,EWS,Gujarat Board,SFI,106923.00,109954.00
56,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100382.00,100382.00
57,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),GEN,Gujarat Board,SFI,100942.00,110305.00
58,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),GEN,Gujarat Board,SFI,101622.00,110640.00
59,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,GEN,Gujarat Board,SFI,101770.00,111107.00
60,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,100572.00,106278.00
61,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SEBC,Gujarat Board,SFI,106359.00,110971.00
62,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,EWS,Gujarat Board,SFI,106361.00,110460.00
63,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SC,Gujarat Board,SFI,108818.00,110744.00
64,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,102402.00,110591.00
65,"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100947.00,100947.00
66,"ALPHA COLLEGE OF ENGG. & TECH., KHATRAJ, KALOL",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,106469.00,111144.00
67,"ALPHA COLLEGE OF ENGG. & TECH., KHATRAJ, KALOL",INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,105903.00,110398.00
68,"ANANT SCHOOL FOR CLIMATE ACTION, AHMEDABAD",Climate Change,GEN,Gujarat Board,SFI,108162.00,108162.00
69,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GEN,Gujarat Board,SFI,101085.00,110285.00
70,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,102298.00,111221.00
71,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100697.00,100697.00
72,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,101804.00,110176.00
73,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,104252.00,108278.00
74,"ARRDEKTA INST. OF TECHNOLOGY, KHEDBRAHMA, SABARKANTHA",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,106412.00,106412.00
75,"ARRDEKTA INST. OF TECHNOLOGY, KHEDBRAHMA, SABARKANTHA",INFORMATION TECHNOLOGY - TFWS,TFW,Gujarat Board,SFI,102692.00,102692.00
76,"ARUN MUNCHHALA ENGINEERING COLLEGE, AMRELI",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,102854.00,107317.00
77,ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,102168.00,110406.00
78,ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,101180.00,101180.00
79,ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING,GEN,Gujarat Board,SFI,102215.00,111344.00
80,ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING (CLOUD COMPUTING),GEN,Gujarat Board,SFI,107182.00,107182.00
81,ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),GEN,Gujarat Board,SFI,102175.00,108555.00
82,ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,102525.00,109800.00
83,ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,INFORMATION TECHNOLOGY - TFWS,TFW,Gujarat Board,SFI,101508.00,101508.00
84,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",CIVIL ENGINEERING,GEN,Gujarat Board,SFI,105574.00,109208.00
85,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,102125.00,110227.00
86,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100499.00,100499.00
87,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",COMPUTER SCIENCE & ENGINEERING,GEN,Gujarat Board,SFI,109909.00,109909.00
88,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",ELECTRICAL ENGINEERING,GEN,Gujarat Board,SFI,105056.00,106859.00
89,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",ELECTRICAL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,103173.00,103173.00
90,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,101270.00,108575.00
91,"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND TECHNOLOGY, RAJKOT",MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,105138.00,110168.00
92,"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,103027.00,108927.00
93,"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",ELECTRICAL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,110814.00,110814.00
94,"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,103167.00,110045.00
95,"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",INFORMATION TECHNOLOGY - TFWS,TFW,Gujarat Board,SFI,101330.00,101330.00
96,"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,109572.00,109572.00
97,"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",AERONAUTICAL ENGINEERING,GEN,Gujarat Board,SFI,108451.00,108451.00
98,"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",CHEMICAL ENGINEERING,GEN,Gujarat Board,SFI,110404.00,111242.00
99,"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",CHEMICAL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,102128.00,102128.00
100,"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,103782.00,110805.00
101,"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100738.00,100738.00
102,"BHAGWAN ARIHANT INSTITUTE OF TECH., SURAT",INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,102316.00,110739.00
103,"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",CIVIL ENGINEERING,GEN,Gujarat Board,SFI,105357.00,111030.00
104,"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",CIVIL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,108727.00,108727.00
105,"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,101623.00,110939.00
106,"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,101495.00,101495.00
107,"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,109420.00,109420.00
108,"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT",MECHANICAL ENGINEERING - TFWS,TFW,Gujarat Board,SFI,102005.00,102005.00
109,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,GEN,Gujarat Board,GOV/GIA,100287.00,102098.00
110,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,EWS,Gujarat Board,GOV/GIA,102105.00,104464.00
111,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,SEBC,Gujarat Board,GOV/GIA,102191.00,103379.00
112,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,GEN PH,Gujarat Board,GOV/GIA,103056.00,103056.00
113,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,ST,Gujarat Board,GOV/GIA,103062.00,108212.00
114,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,SC,Gujarat Board,GOV/GIA,103202.00,103952.00
115,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING,GEN,ALL INDIA,GOV/GIA,200004.00,200004.00
116,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",CIVIL ENGINEERING - TFWS,TFW,Gujarat Board,GOV/GIA,100527.00,100527.00
117,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,GEN,Gujarat Board,GOV/GIA,100104.00,100172.00
118,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,EWS,Gujarat Board,GOV/GIA,100193.00,100200.00
119,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,SEBC,Gujarat Board,GOV/GIA,100267.00,100344.00
120,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,SC,Gujarat Board,GOV/GIA,101684.00,101880.00
121,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",COMPUTER ENGINEERING,ST,Gujarat Board,GOV/GIA,103221.00,104320.00
122,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,GEN,Gujarat Board,GOV/GIA,100821.00,101339.00
123,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,SEBC,Gujarat Board,GOV/GIA,101512.00,101878.00
124,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,SC,Gujarat Board,GOV/GIA,101541.00,101541.00
125,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,EWS,Gujarat Board,GOV/GIA,101949.00,102060.00
126,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING,ST,Gujarat Board,GOV/GIA,102992.00,104115.00
127,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRICAL ENGINEERING - TFWS,TFW,Gujarat Board,GOV/GIA,100575.00,100575.00
128,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",ELECTRONICS ENGINEERING,GEN,Gujarat Board,GOV/GIA,102192.00,110860.00
129,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,GEN,Gujarat Board,GOV/GIA,100298.00,101235.00
130,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,EWS,Gujarat Board,GOV/GIA,101337.00,101379.00
131,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,SC,Gujarat Board,GOV/GIA,101343.00,102699.00
132,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,SEBC,Gujarat Board,GOV/GIA,101894.00,102598.00
133,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,ST,Gujarat Board,GOV/GIA,104205.00,104205.00
134,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,GEN,ALL INDIA,GOV/GIA,200021.00,200021.00
135,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING - TFWS,TFW,Gujarat Board,GOV/GIA,100269.00,100269.00
136,"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",PRODUCTION ENGINEERING,GEN,Gujarat Board,GOV/GIA,102445.00,111055.00
137,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",ELECTRONICS & COMMUNICATION ENGINEERING,GEN,Gujarat Board,SFI,104154.00,108070.00
138,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,GEN,Gujarat Board,SFI,100231.00,100365.00
139,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,SEBC,Gujarat Board,SFI,100513.00,100869.00
140,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,SC,Gujarat Board,SFI,103616.00,103616.00
141,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,ST,Gujarat Board,SFI,105736.00,105736.00
142,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY - TFWS,TFW,Gujarat Board,SFI,100203.00,100203.00
143,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",MECHANICAL ENGINEERING,GEN,Gujarat Board,SFI,101881.00,101881.00
144,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",MECHANICAL ENGINEERING,SEBC,Gujarat Board,SFI,102658.00,102658.00
145,"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",MECHANICAL ENGINEERING,EWS,Gujarat Board,SFI,109386.00,109386.00
146,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",CIVIL ENGINEERING,GEN,Gujarat Board,SFI,101719.00,110694.00
147,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",COMPUTER ENGINEERING,GEN,Gujarat Board,SFI,100918.00,102233.00
148,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",COMPUTER ENGINEERING,SC,Gujarat Board,SFI,102437.00,103283.00
149,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",COMPUTER ENGINEERING,SEBC,Gujarat Board,SFI,102824.00,104917.00
150,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",COMPUTER ENGINEERING,EWS,Gujarat Board,SFI,102864.00,103679.00
151,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",COMPUTER ENGINEERING - TFWS,TFW,Gujarat Board,SFI,100503.00,100503.00
152,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",ELECTRICAL ENGINEERING,GEN,Gujarat Board,SFI,100170.00,107144.00
153,"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",ELECTRICAL ENGINEERING,SEBC,Gujarat Board,SFI,107558.00,109080.00
